NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
ER GASTRO RAFA£ NASIADKA;"BAR ""CHANG THAI STREET FOOD""";GDA—SK;UL. ROMANA DMOWSKIEGO;15;GASTRONOMIA;;
PIZZA & GRILL COå NA RUSZT MICHA£ KASPROWICZ;PIZZA & GRILL COS NA RUSZT;GDA—SK;UL. W£ADYS£AWA CIESZY—SKIEGO;38;GASTRONOMIA;20;
DAWNE SMAKI SP. Z O.O.;"RESTUARACJA ""RISTORANTE CON GIORDINO""";GDA—SK;UL. J”ZEFA CZYØEWSKIEGO;20;GASTRONOMIA;;
"CENTRUM KONFERENCYJNO-NOCLEGOWE ""ALMA"" ZDZIS£AW STECKI";CENTRUM KONFERENCYJNE ALMA;GDA—SK;UL. FALOWA;4;GASTRONOMIA;;
"FIRMA HANDLOWA ""FLAMINGO"" JERZY RUDNICKI";"BAR ""FLAMINGO""";GDA—SK;UL. TURYSTYCZNA;8;GASTRONOMIA;;
"""BUNKIER""  S.C. TOMASZ ROTER, RAFA£ JASI—SKI, SYLWIA PRYZI—SKA";PUB BUNKIER;GDA—SK;UL. OLEJARNA;3;GASTRONOMIA;;
"""BUNKIER""  S.C. TOMASZ ROTER, RAFA£ JASI—SKI, SYLWIA PRYZI—SKA";"KLUB ""HULA""";;;;GASTRONOMIA;;GDA—SK BRZEèNO, NA PLAØY PRZY WEJåCIU NR 50, NA WYSOKOåCI UL. JANTAROWEJ/HALLERA
QUALIA HOTEL MANAGEMENT SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;RESTAURACJA GOLDEN TULIP;GDA—SK;UL. PIASTOWSKA;160;GASTRONOMIA;;
QUBUS HOTEL MANAGEMENT SP. Z O.O.;RESTAURACJA W HOTELU QUBUS;GDA—SK;UL. CHMIELNA;47;GASTRONOMIA;52;
LUA SP. Z O.O.;"KAWIARNIA ""MARMOLADA, CHLEB I KAWA""";GDA—SK;UL. ANTONIEGO S£ONIMSKIEGO;5;GASTRONOMIA;62;
GRILL BAR FENIX ROBERT åWI•TEK;"RESTAURACJA ""FENIX""";GDA—SK;UL. SZCZECI—SKA;23;GASTRONOMIA;;
SIRBLU SP. Z O.O.;"BAR ""WHITE STAR""";GDA—SK;UL. PRZYWIDZKA;8;GASTRONOMIA;;
SOPOCKA ODESSA EWA HRONOWSKA;KLUB KONCERTOWY B90;GDA—SK;UL. DOKI;1;GASTRONOMIA;;
PU£APKA S.C. WOJCIECH SKORACKI, TOMASZ KRUPA;"PUB ""PU£APKA""";GDA—SK;UL. STRAGANIARSKA;2;GASTRONOMIA;;
PU£APKA S.C. WOJCIECH SKORACKI, TOMASZ KRUPA;"BAR ""PU£APKA""";GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;LOK. 9A;
JARMARST SP. Z O.O.;BAR;GDA—SK;UL. KURIER”W ARMII KRAJOWEJ;15;GASTRONOMIA;;
VINTAGE 2000 - MONIKA ZI BA;RESTAURACJA W PA£ACU OPAT”W;GDA—SK;UL. CYSTERS”W;18;GASTRONOMIA;;
LEE'S CHINESE LECIEJEWSKI WIKTOR;"RESTAURACJA ""LEE'S CHINESE""";GDA—SK;UL. KARTUSKA;20;GASTRONOMIA;;
GRZEGORZ POLIDOWSKI;"BAR ""ECHO""";GDA—SK;UL. WA£Y JAGIELLO—SKIE;2;GASTRONOMIA;4;
BF INVESTMENT SP. Z O.O.;HOTEL CAFE PICA PACA;GDA—SK;UL. SPICHRZOWA;20;GASTRONOMIA;;
SAMBIX S.C. JAN PRZYWARA MAREK PRZYWARA;"RESTAURACJA ""PORTLAND""";GDA—SK;UL. D£UGIE OGRODY;27;GASTRONOMIA;;
EURO-GASTRO OKTAWIUSZ WOJCIECHOWSKI;RESTAURACJA IMBIR;GDA—SK;UL. D£UGA;52;GASTRONOMIA;53;
HOTEL OLIWSKI SP. Z O.O.;RESTAURACJA W HOTELU OLIWSKIM;GDA—SK;UL. PIASTOWSKA;1;GASTRONOMIA;;
BRETANIA MAZURY S.C. JOANNA PI”RKOWSKA-CHESNAIS DOMINIQUE CHESNAIS;"RESTAURACJA ""A LA FRANCAISE""";GDA—SK;UL. SPICHRZOWA;24;GASTRONOMIA;1;
PIZZERIA RICCARDO RYSZARD Z•BKIEWICZ;PIZZERIA RICCARDO;GDA—SK;UL. PLATYNOWA;2;GASTRONOMIA;;
KOOPERACJA PAWE£ PARUSI—SKI;"RESTAURACJA ""KLUB 107""";GDA—SK;UL. OGARNA;107D;GASTRONOMIA;;
MCC SP. Z O.O.;"BAR ""MATA CO CHCETA""";GDA—SK;UL. ROMANA DMOWSKIEGO;15;GASTRONOMIA;;
JOYREST SP”£KA Z .O.O SP”£KA KOMANDYTOWA;"LOKAL ""ENJOY""";GDA—SK;UL. ALEJA GRUNWALDZKA;415;GASTRONOMIA;U4;
"DOCK-POL SP. Z O.O. RESTAURACJA ""GOLDWASSER""";CAFETERIA POBIERNIA LIKIER”W GOLDWASSER;GDA—SK;UL. D£UGI TARG;28;GASTRONOMIA;29;
"DOCK-POL SP. Z O.O. RESTAURACJA ""GOLDWASSER""";"RESTAURACJA ""GOLDWASSER""";GDA—SK;UL. D£UGIE POBRZEØE;22;GASTRONOMIA;;
"DOCK-POL SP. Z O.O. RESTAURACJA ""GOLDWASSER""";"RESTAURACJA ""TARG RYBNY""";GDA—SK;UL. TARG RYBNY;6C;GASTRONOMIA;1;
KAZIMIERA ZAJ•CZKOWSKA TAWERNA MESTWIN;"RESTAURACJA ""TAWERNA MESTWIN""";GDA—SK;UL. STRAGANIARSKA;20;GASTRONOMIA;23;
POMORZANIN SP Z O.O. DW”R PRAWDZICA;"RESTAURACJA W HOTELU ""DW”R PRAWDZICA""";GDA—SK;UL. PIASTOWSKA;198;GASTRONOMIA;;
MULTIKINO S.A.;KOMPLEKS GASTRONOMICZNY BAR POP-CORN, BAR SOMERSBY KAWIARNIA CAVABLANCA;GDA—SK;UL. ALEJA ZWYCI STWA;14;GASTRONOMIA;;
MARTEL KRZYSZTOF STEPOKURA;"BAR W VILLI ""JAåKOWY DWOREK""";GDA—SK;UL. JAåKOWA DOLINA;57A;GASTRONOMIA;;
ORBIS S.A.;"RESTAURACJA ""ORBIS"" W HOTELU ""NOVOTEL""";GDA—SK;UL. PSZENNA;1;GASTRONOMIA;;
ORBIS S.A.;"RESTAURACJA W HOTELU ""POSEJDON""";GDA—SK;UL. KAPLICZNA;30;GASTRONOMIA;;
ORBIS S.A.;"RESTAURACJA I BAR ""WINESTONE W HOTELU MERCURE GDA—SK STARE MIASTO";GDA—SK;UL. HEWELIUSZA;22;GASTRONOMIA;;
ORBIS S.A.;"RESTAURACJA W HOTELU ""IBIS GDA—SK STARE MIASTO""";GDA—SK;UL. JANA HEWELIUSZA;24;GASTRONOMIA;;
MELISA SP. Z O.O.;BAR SEZONOWY;GDA—SK;UL. TURYSTYCZNA;90;GASTRONOMIA;;
"""W STARYM KADRZE"" S£AWOMIR KIEDYSZ";"KAWIARNIA ""W STARYM KADRZE""";GDA—SK;UL. GROBLA I;3;GASTRONOMIA;4;
KOPEX-PRZEDSI BIORSTWO BUDOWY SZYB”W S.A.;"KAWIARNIA W OåRODKU WCZASOWYM ""RELAX""";GDA—SK;UL. BARWNA;1;GASTRONOMIA;;
MA£A GASTRONOMIA KRZYSZTOF WASILEWSKI;BAR GASTRONOMICZNY;GDA—SK;UL. TARG W GLOWY;-;GASTRONOMIA;;
KOS OSKAR TOPOLEWSKI;"BAR ""KOS""";GDA—SK;UL. PIWNA;7/8/9/10/1;GASTRONOMIA;;
EUROWAX SP. Z O.O.;RESTAURACJA W HOTELU ARENA EXPO;GDA—SK;UL. MARYNARKI POLSKIEJ;71;GASTRONOMIA;;
DOROTA KAROLAK-BERNATEK, ANDO ART.;KAWIARNIA T. DEKER;GDA—SK;UL. OBRO—C”W WYBRZEØA;1;GASTRONOMIA;;
TRATTORIA GUSTO EWA D•BROWSKA, ROBERT G BIå S.C.;RESTAURACJA TRATTORIA GUSTO;GDA—SK;UL. AFRODYTY;1A;GASTRONOMIA;;
BABYCAFE.PL EWA BANAå;RESTAURACJA BABYCAFE.PL;GDA—SK;UL. JULIUSZA S£OWACKIEGO;4;GASTRONOMIA;;
CLASSIC RESTAURANT SP. Z O.O.;RESTAURACJA CLASSIC;GDA—SK;UL. OPATA JACKA RYBI—SKIEGO;18;GASTRONOMIA;;
PWIP GDA—SK SP. Z O.O.;RESTAURACJA PIJALNIA W”DKI;GDA—SK;UL. D£UGI TARG;35;GASTRONOMIA;38/B/C;
"""HOTEL ORLE CENTRUM KONFERENCYJNE B.ZDANOWSKI, K.PODK”WKA"" SP. JAWNA";KAWIARNIA W CENTRUM HOTELOWO-KONFERENCYJNYM;GDA—SK;UL. LAZUROWA;8;GASTRONOMIA;;
FIRMA PRODUKCYJNO HANDLOWO  US£UGOWA TOMASZ BRUSZCZAK;"BAR ""KEBAB""";GDA—SK;UL. KARMELICKA;1;GASTRONOMIA;;
LOKAL GASTRONOMICZNY SANDRA PRZYTU£A;"PUB ""WOLNE MIASTO""";GDA—SK;UL. KLINICZNA;2A;GASTRONOMIA;;
MARCIN BUDZYK  M.M.M.;"PIZZERIA ""JOHN'S PIZZA""";GDA—SK;UL. GOSPODY;1A;GASTRONOMIA;;
MOVADO MAGDALENA GODOJ;"PIZZERIA ""DA GRASSO""";GDA—SK;UL. ALEJA GRUNWALDZKA;49;GASTRONOMIA;;
MOVADO MAGDALENA GODOJ;"PIZZERIA ""DA GRASSO""";GDA—SK;UL. PIASTOWSKA;99;GASTRONOMIA;;
PATIO ESPANOL SP. Z O.O.;RESTAURACJA PATIO ESPANOL;GDA—SK;UL. TANDETA;1;GASTRONOMIA;81;
PROSOLUTION SP. Z O.O.;"RESTAURACJA ""FRESCO""";GDA—SK;UL. Z£OTA KARCZMA;26;GASTRONOMIA;20;
PROSOLUTION SP. Z O.O.;RESTAURACJA FRESCO;GDA—SK;UL. HELENY MARUSARZ”WNY;2;GASTRONOMIA;7;
BC CLUB GDA—SK SP.Z O.O.;"BAR W KR GIELNI ""MK BOWLING""";GDA—SK;UL. ALEJA GRUNWALDZKA;82;GASTRONOMIA;;
KAFE DELFIN  TERESA KARBOWSKA, MICHA£ SZKUDLAREK S.C.;"KAWIARNIA ""KAFE DELFIN""";GDA—SK;UL. OPATA JACKA RYBI—SKIEGO;17;GASTRONOMIA;;
RESTAURACJA MALINOWY OGR”D WOJCIECH UTSCHIK;"RESTAURACJA ""MALINOWY OGR”D""";GDA—SK;UL. PEGAZA;2;GASTRONOMIA;;
"I. FIRMA HANDLOWO-US£UGOWA ""BAX"" EUGENIUSZ DAMPS  ;  II. ""PLAØA"" S.C.";BAR SEZONOWY;GDA—SK;UL. WYDMY;1;GASTRONOMIA;;
"""JACOBSEN"" KRYSTYNA ZANDER-WICHER";"BAR ""JACOBSEN""";GDA—SK;UL. WARZYWNICZA;10A;GASTRONOMIA;;
"PIZZERIA ""KROKODYL"" K.W.MOKRZYCCY";"PIZZERIA ""KROKODYL""";GDA—SK;UL. ALEJA JANA PAW£A II;11A;GASTRONOMIA;;
"PIZZERIA ""KROKODYL"" K.W.MOKRZYCCY";"PIZZERIA ""KROKODYL""";GDA—SK;UL. AMUNDSENA;7A;GASTRONOMIA;;
"BAR PIWNY - BISTRO ""POD SKARP•"" BOØENA ØELAZNA";BAR POD SKARP•;GDA—SK;UL. KARTUSKA;124A;GASTRONOMIA;;
"""SCAMPI"" HANNA SOLARSKA";"RESTAURACJA ""SCAMPI""";GDA—SK;UL. TARG RYBNY;10C;GASTRONOMIA;;
"KLUB ""KROPKA"" MARIA SM TEK";"KLUB ""KROPKA""";GDA—SK;UL. KRZYWOUSTEGO;24I;GASTRONOMIA;;
PIZZERIA - LA- PARMA - TOMASZ POSIAKOW;"PIZZERIA ""PARMA""";GDA—SK;UL. KARTUSKA;218;GASTRONOMIA;;
FOOD STUDIO PAWE£ WINISZEWSKI;RESTAURACJA REPUBLIKA;GDA—SK;UL. DZIANA;5/7;GASTRONOMIA;;
FOOD STUDIO PAWE£ WINISZEWSKI;RESTAURACJA COOLTURA;GDA—SK;UL. CHMIELNA;101;GASTRONOMIA;;
RICHY XXL RYSZARD SOBCZAK;"PIZZERIA ""RICHY XXL""";GDA—SK;UL. DWORSKA;27;GASTRONOMIA;;
