NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
"""POD £OSOSIEM"" MIECZYS£AW ROBAKOWSKI   III. ""MARGHERITA"" MIECZYS£AW I DAMIAN ROBAKOWSCY";"PIZZERIA ""MARGHERITA""";GDA—SK;UL. CYSTERS”W;11;GASTRONOMIA;;
"BIURO HANDLOWE ""TALAR"" TERESA TALLAR";RESTAURACJA W HOTELU TALLAR;GDA—SK;UL. TRAKT åW. WOJCIECHA;217;GASTRONOMIA;;
FIRMA GASTRONOMICZNA WOJDYR ANDRZEJ;TAWERNA POD ØAGLAMI;GDA—SK;UL. RADOSNA;7;GASTRONOMIA;;
"FIRMA HANDLOWO US£UGOWA ""IWONA"" IWONA ADAMCZAK";"BAR ""POD WIERZB•""";GDA—SK;UL. DOKI;1;GASTRONOMIA;;
AKADEMICKI ZWI•ZEK SPORTOWY ZARZ•D G£”WNY;"BAR LETNI ""TRAFALGAR""";GDA—SK;UL. STOGI;20;GASTRONOMIA;;
TSUNAMI SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA/DYSKOTEKA ""MIASTO ANIO£”W""";GDA—SK;UL. CHMIELNA;26;GASTRONOMIA;;
PARLAMENT SP”£KA JAWNA;RESTAURACJA W HOTELU WOLNE MIASTO;GDA—SK;UL. åW. DUCHA;2;GASTRONOMIA;;
PARLAMENT SP”£KA JAWNA;"KLUB MUZYCZNY ""PARLAMENT""";GDA—SK;UL. åW. DUCHA;2;GASTRONOMIA;;
PARLAMENT SP”£KA JAWNA;"KAWIARNIA W HOTELU""WOLNE MIASTO""";GDA—SK;UL. KO£ODZIEJSKA;4;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";RESTAURACJA KFC;GDA—SK;UL. S£OWACKIEGO;136;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";RESTAURACJA PIZZA HUT/KFC;GDA—SK;UL. MARUSARZ”WNY;2;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";RESTAURACJA KFC;GDA—SK;UL. ALEJA GRUNWALDZKA;141;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"RESTAURACJA ""PIZZA HUT / KFC""";GDA—SK;UL. ALEJA JANA PAW£A II;19;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"PIZZERIA ""PIZZA HUT""";GDA—SK;UL. ALEJA GRUNWALDZKA;141;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"RESTAURACJA ""KFC""";GDA—SK;UL. ALEJA GRUNWALDZKA;258;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"RESTAURACJA ""BURGER KING""";GDA—SK;UL. ALEJA GRUNWALDZKA;141;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"RESTAURACJA ""KFC""";GDA—SK;UL. OBRO—C”W WYBRZEØA;1;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"RESTAURACJA ""KFC""";GDA—SK;UL. MIA£KI SZLAK;12;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"RESTAURACJA ""PIZZA HUT""";GDA—SK;UL. FRANCISZKA SCHUBERTA;102;GASTRONOMIA;A;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";RESTAURACJA PIZZA HUT;GDA—SK;UL. TARG SIENNY;7;GASTRONOMIA;;
"""AMREST"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";RESTAURACJA BURGER KING;GDA—SK;UL. TARG SIENNY;7;GASTRONOMIA;;
BIURO DORADZTWA GOSPODARCZEGO HM SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA W HOTELU ""IMPRESJA""";GDA—SK;UL. TUWIMA;12;GASTRONOMIA;;
BIURO DORADZTWA GOSPODARCZEGO HM SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA W HOTELU ""IMPRESJA""";GDA—SK;UL. JULIANA TUWIMA;14;GASTRONOMIA;;
CINEMA CITY POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"BAR ""KREWETKA""";GDA—SK;UL. KARMELICKA;1;GASTRONOMIA;;
CINEMA CITY POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"KAWIARNIA ""NESCAFE""";GDA—SK;UL. KARMELICKA;1;GASTRONOMIA;;
CINEMA CITY POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"KAWIARNIA ""CINEMA CAFE""";GDA—SK;UL. KARMELICKA;1;GASTRONOMIA;;
ISTANBUL M.DUKOWICZ I J.PRZYBYLSKI SP”£KA JAWNA;BAR ISTANBUL;GDA—SK;UL. HYNKA;71B;GASTRONOMIA;;
"BAR ""POD RURAMI"" MIROS£AWA CHY£A";"BAR ""POD RURAMI""";GDA—SK;UL. KLINICZNA;2;GASTRONOMIA;;
4 FOODIES SP. Z O.O.;"RESTAURACJA ""RYBAåNIE""";GDA—SK;UL. BRZEèNIE—SKA;18;GASTRONOMIA;;
PERSONAL SP. Z O.O. SP”£KA KOMANDYTOWA;RESTAURACJA OFICYNA DI VINEGRE;GDA—SK;UL. ALEJA GRUNWALDZKA;415;GASTRONOMIA;;
MALIKA EWA SZYC-JUCHNOWICZ;"RESTAURACJA ""MACHNIA EATS & BEATS""";GDA—SK;UL. CHLEBNICKA;13;GASTRONOMIA;16;
3M SP”£KA  Z O.O.;"BAR BISTRO ""G£”WNE MIASTO""";GDA—SK;UL. åW. DUCHA;13/15/17;GASTRONOMIA;1;
"FIRMA USLUGOWA ""GRABAR"" BARBARA ROMPA";"LOKAL GASTRONOMICZNY ""MOJA GRUZJA""";GDA—SK;UL. PILOT”W;3;GASTRONOMIA;6;
CHEF FOOD & FRIENDS SP. Z O.O.;"RESTAURACJA ""CHEF FOOD & FRIENDS""";GDA—SK;UL. D£UGA;11;GASTRONOMIA;;
CUBA LIBRE ADAM KOWALSKI;PUB CUBA LIBRE;GDA—SK;UL. ØWIRKI I WIGURY;8;GASTRONOMIA;2;
PIZZERIA TAORMINA DANUTA LIDER;PIZZERIA TAORMINA;GDA—SK;UL. WOLNOåCI;21E;GASTRONOMIA;;
RAFA£ BRZOSKOWSKI SABINA BRZOSKOWSKA ZSPX S.C.;"BISTRO ""POBITE GARY""";GDA—SK;UL. BITWY OLIWSKIEJ;34;GASTRONOMIA;;
ZIMNE N”ØKI S.C.  MARIUSZ MISZEWSKI  MARTA WIåNIOWSKA;"BAR BISTRO ""ZIMNE N”èKI""";GDA—SK;UL. åW. DUCHA;2;GASTRONOMIA;;
CAFE APERITIF SP. Z O.O. S.K;"DRINK BAR ""WILD ORCHID""";GDA—SK;UL. D£UGA;74;GASTRONOMIA;;
KAROLINA OGANOWSKA MUKA BAR;"LOKAL ""NIE-MI SNY""";GDA—SK;UL. JASK”£CZA;24;GASTRONOMIA;;
RATHAUS BIOØYCZKO ZIELI—SKI SP”£KA JAWNA;"BAR ""IRISH PUB""";GDA—SK;UL. KORZENNA;33;GASTRONOMIA;35;
"""D£UGI TARG HOTEL MANAGEMENT"" SP”£KA Z O.O.";RESTAURACJA 5 PIETRO I LOBBY BAR W HOTELU IBB;GDA—SK;UL. D£UGI TARG;14;GASTRONOMIA;16;
MANNA  ANNA ORZECH;"RESTAURACJA ""MANNA 68""";GDA—SK;UL. åW. DUCHA;68;GASTRONOMIA;;
QUICKFOOD JAROS£AW TYSZKIEWICZ;"BAR ""NINJA STREET FOOD""";GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;LOK. 1.17;
APRI GROUP SP”£KA  Z OGRANICZON• ODPOWIEDZIALNOåCI•;PINATA MEXICAN BISTRO BAR;GDA—SK;UL. ARTURA SCHOPENHAUERA;1;GASTRONOMIA;;
APRI GROUP SP”£KA  Z OGRANICZON• ODPOWIEDZIALNOåCI•;BAR PINATA MEXICAN FOOD;GDA—SK;UL. WA£Y JAGIELLO—SKIE;34;GASTRONOMIA;;
KARMA GURU CATERING PIOTR GARCZEWSKI;"BAR ""KARMA GURU""";GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;LOK. 1.13;
6ZER WOJCIECH KAMI—SKI;"RESTAURACJA ""MEAT SHACK""";GDA—SK;UL. LUDWIKA WARY—SKIEGO;26;GASTRONOMIA;27;
FLYSPACE SP. Z O.O.;"BAR ""GAME OVER""";GDA—SK;UL. TKACKA;27;GASTRONOMIA;28;
WB ANNA DZIKOWSKA;"BAR ""KURA DOMOWA""";GDA—SK;UL. FRANCISZKA HYNKA;55;GASTRONOMIA;E;
PABLO PAWE£ RYDLEWSKI;"RESTAURACJA ""ZIELONY GROSZEK""";GDA—SK;UL. KO£OBRZESKA;39F;GASTRONOMIA;4;
P20 ALEKSANDER NIEWIADOMSKI;"PIZZERIA ""AMORE""";GDA—SK;UL. SUBIS£AWA;29;GASTRONOMIA;;
ROCKMILL SP. Z O.O.;"BAR PRZEK•SKOWY ""MAVERICK""";GDA—SK;UL. PARTYZANT”W;8;GASTRONOMIA;104;
"""PAUZA"" KATARZYNA ZYCH";BAR SEZONOWY;GDA—SK;UL. ZDROJOWA;-;GASTRONOMIA;;
ORIANA FASHION ORIANA GO£U—SKA;"BAR ""PYSZNIE""";GDA—SK;UL. T CZOWA;8;GASTRONOMIA;;
GUO&WANG SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;RESTAURACJA CHI—SKA;GDA—SK;UL. ST•GIEWNA;1;GASTRONOMIA;;
METRO S.C. MARIUSZ WESSEL ANNA WESSEL;"BAR ""METRO""";GDA—SK;UL. MISZEWSKIEGO;12/13;GASTRONOMIA;;
"PIEROGARNIA ""U DZIKA""  J.K.P.  DZIK S.C.";"PIEROGARNIA U ""DZIKA""";GDA—SK;UL. PIWNA;59;GASTRONOMIA;60;
WINIARNIA-PIETRASZEK SP”£KA JAWNA L.PIETRASZEK M.PIETRASZEK;WINIARNIA PIETRASZEK;GDA—SK;UL. Z£OTNIK”W;13/18;GASTRONOMIA;3;
ARTTOT SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""FAHRENHEIT""";GDA—SK;UL. D£UGI TARG;39;GASTRONOMIA;40;
VINCENT & WOLF SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""WYDZIA£ REMONTOWY""";GDA—SK;UL. DOKI;1;GASTRONOMIA;;
VILLA UPHAGENA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOå∆I•;VILLA UPHAGENA;GDA—SK;UL. JANA UPHAGENA;23;GASTRONOMIA;;
DOBRY HOTEL MI CZKOWSKI SP”£KA KOMANDYTOWA;"RESTAURACJA W HOTELU ""ARKON PARK""";GDA—SK;UL. åL•SKA;10;GASTRONOMIA;;
DOBRY HOTEL MI CZKOWSKI SP”£KA KOMANDYTOWA;PIZZA PASTA I BASTA;GDA—SK;UL. ALEJA GRUNWALDZKA;415;GASTRONOMIA;;
EMK S.C. EMILIA I MARCIN KRZYWICCY;BAR EMK;GDA—SK;UL. PLAC DOMINIKA—SKI;7;GASTRONOMIA;;
"""IKEA RETAIL"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"RESTAURACJA ""IKEA""";GDA—SK;UL. Z£OTA KARCZMA;26;GASTRONOMIA;;
"""P-U KARTAL"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";"BAR ""ISTAMBUL KEBAP""";GDA—SK;UL. SCHUBERTA;102A;GASTRONOMIA;;
”SEMKA  SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"PIZZERIA ""”SEMKA""";GDA—SK;UL. WAJDELOTY;24;GASTRONOMIA;;
LABEERYNT KOZAN SP”£KA JAWNA;PUB LABEERYNT;GDA—SK;UL. SZEROKA;97;GASTRONOMIA;;
BURGERMANIA  JUSTYNA  MACZKOWSKA;"LOKAL GASTRONOMICZNY ""BURGERMANIA""";GDA—SK;UL. BOLES£AWA KRZYWOUSTEGO;25;GASTRONOMIA;;
BURGERMANIA  JUSTYNA  MACZKOWSKA;"BAR BISTRO ""GRULLE""";GDA—SK;UL. BOLES£AWA KRZYWOUSTEGO;25;GASTRONOMIA;;
LUCYNA PEPLI—SKA KWIECIE—;"RESTAURACJA ""POBRZEGI""";GDA—SK;UL. STARA STOCZNIA;2;GASTRONOMIA;4;
WTK SP”£KA Z O.O.;"BAR ""MONOFAKTURA  WIåNIEWSKI""";GDA—SK;UL. D£UGA;70;GASTRONOMIA;71;
WTK SP”£KA Z O.O.;"BAR ""MONOFAKTURA WIåNIEWSKI""";GDA—SK;UL. PIWNA;22;GASTRONOMIA;;
ØABKA S.C. BOGUMI£A SOCHACKA, MA£GORZATA SZADAJ;BAR ØABKA;GDA—SK;UL. KARWIE—SKA;3;GASTRONOMIA;;
HIPCIO S.C. BOGUMI£A SOCHACKA, JAKUB SZADAJ;BAR HIPCIO;GDA—SK;UL. KARWIE—SKA;3;GASTRONOMIA;;
1. W£ODZIMIERZ SOROCZY—SKI RESTAURACJE 2. MASALA W£ODZIMIERZ SOROCZY—SKI (WSP”LNIK SC);"RESTAURACJA ""BUDDHA LOUNGE""";GDA—SK;UL. D£UGA;18;GASTRONOMIA;21;
1. W£ODZIMIERZ SOROCZY—SKI RESTAURACJE 2. MASALA W£ODZIMIERZ SOROCZY—SKI (WSP”LNIK SC);"RESTAURACJA ""TAWERNA""";GDA—SK;UL. POWROèNICZA;19;GASTRONOMIA;20;
1. W£ODZIMIERZ SOROCZY—SKI RESTAURACJE 2. MASALA W£ODZIMIERZ SOROCZY—SKI (WSP”LNIK SC);BAR CATHEAD;GDA—SK;UL. POWROèNICZA;18/24;GASTRONOMIA;lok.2;
EWA BORYCZEWSKA-POLIDOWSKA;"PIZZERIA-RESTAURACJA ""PROSTO Z OGNIA""";GDA—SK;UL. MASZYNOWA;8;GASTRONOMIA;;
MNIE TO RYBKA MATEUSZ I MACIEJ KUBIAK S.C.;"RESTAURACJA ""MNIE TO RYBKA""";GDA—SK;UL. BRZEèNIE—SKA;16;GASTRONOMIA;;
ARANCIONE ARTUR JAN MATHEA;"BAR GASTRONOMICZNY ""ARANCIONE""";GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;;
KORONA MARIOLA NOWAKOWSKA, MA£GORZATA KIERE—SKA, KRZYSZTOF KIERE—SKI SP”£KA CYWILNA;"RESTAURACJA  ""KORONA""";GDA—SK;UL. CHMIELNA;72;GASTRONOMIA;4;
YUMMY BEATA JANKOWIAK;BAR GASTRONOMICZNY YUMMY;GDA—SK;UL. GARNCARSKA;4;GASTRONOMIA;6;
"S£AWOMIR PODSKOK FIRMA ""DELFIN""";"BAR SEZONOWY ""DELFIN""";GDA—SK;UL. FALOWA;DZIA£KA 22;GASTRONOMIA;OBR B 139;
"S£AWOMIR PODSKOK FIRMA ""DELFIN""";"BAR ""DELFIN""";GDA—SK;UL. TURYSTYCZNA;1;GASTRONOMIA;;
KAROLA KAROLINA KRZEMIE—;"PIZZERIA ""105""";GDA—SK;UL. JAB£ONIOWA;20;GASTRONOMIA;11;
SK£ADAK DOROTA SZYMANKIEWICZ;"LOKAL GASTRONOMICZNY ""SK£ADAK""";GDA—SK;UL. KAROLA SZYMANOWSKIEGO;18;GASTRONOMIA;U4/U5;
JAKUB KOLASI—SKI;"LOKAL GASTRONOMICZNY ""NA OKR•G£O""";;;;GASTRONOMIA;;WYSPIA—SKIEGO R”G UL. BIA£EJ 80-434 GDA—SK
DARIA SIERZPUTOWSKA I.DAN SEBASTIAN II.COCKTAIL LAND;"""COCKTAIL LAND""";GDA—SK;UL. STARA STOCZNIA;6;GASTRONOMIA;9;
XO BURGER SP. Z O.O.;"BAR ""PASIBUS""";GDA—SK;UL. TARG SIENNY;7 RE 2.07;GASTRONOMIA;RE 3.05;
SDG VENTURES SP. Z O.O. SP.K;"PUNKT GASTRONOMICZNY ""S£ONY POP UP""";GDA—SK;UL. CHMIELNA;10;GASTRONOMIA;25;
PAWE£ SZERMER INVESTMENTS;"PIZZERIA ""PRIMORE""";GDA—SK;UL. PREZYDENTA LECHA KACZY—SKIEGO;11;GASTRONOMIA;;
"""VHM HOTEL MANAGEMENT"" SP”£KA Z O.O.";RESTAURACJA W HOTELU HAMPTON BY HILTON GDA—SK OLD TOWN;GDA—SK;UL. LEKTYKARSKA;4;GASTRONOMIA;;
AL PONTE SP. Z O.O. SP.K.;"RESTAURACJA ""AL PONTE""";GDA—SK;UL. GRODZKA;10;GASTRONOMIA;;
K.J KRZYSZTOF JAKUBIAK;PUB KLASTER;GDA—SK;UL. åW. DUCHA;68;GASTRONOMIA;U1/A;
KREATYWNA GRUPA GASTRONOMICZNA SP. Z O.O. SP. KOMANDYTOWA;"RESTAURACJA ""AIOLI INSPIRED BY GDA—SK""";GDA—SK;UL. PARTYZANT”W;6;GASTRONOMIA;;
US£UGI GASTRONOMICZNE SYLWIA CZECHOWSKA;"RESTAURACJA ""ROMANTICA""";GDA—SK;UL. STARTOWA;31;GASTRONOMIA;;
T.O.K. SP. Z O.O.;"RESTAURACJA ""SAPORE""";GDA—SK;UL. TKACKA;27;GASTRONOMIA;28;
LUCA MONIKA SAWCZAK;PIZZERIA LUCA;GDA—SK;UL. MIKO£AJA REJA;34;GASTRONOMIA;;
RAFA£ BRZOSKOWSKI SABINA BRZOSKOWSKA ZSPX S.C.;"RESTAURACJA ""POBITE GARY""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;21;GASTRONOMIA;;
FALA GDYNIA S.C. ANNA SADOWSKA   BARTOSZ FILIPOWICZ;"LOKAL GASTRONOMICZNY ""FALLA""";GDA—SK;UL. FRANCISZKA HYNKA;65;GASTRONOMIA;;
"""JOHAN"" PATRYK JOACHIMIAK";"SKLEP SPOØYWCZY SIECI  ""ØABKA""";GDA—SK;UL. TRAKT åW. WOJCIECHA;18A;HANDEL;;
PROMOTORZY TRADING SP. Z O.O. SP. KOMANDYTOWA;"SKLEP ""SMOKE""";GDA—SK;UL. ALEJA GRUNWALDZKA;141;HANDEL;;
PROMOTORZY TRADING SP. Z O.O. SP. KOMANDYTOWA;SKLEP  SMOKE - FORUM GDA—SK;GDA—SK;UL. TARG SIENNY;7;HANDEL;SH.-1.16;
SKLEP SPOØYWCZO PRZEMYS£OWY ASTRA WOèNIAK EWA;SKLEP SPOØYWCZO PRZEMYS£OWY ASTRA;GDA—SK;UL. MIECZYS£AWA BOGUCKIEGO;42A;HANDEL;;
P.H.U. MARIUSZ URBA—SKI;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. TADEUSZA KOåCIUSZKI;47;HANDEL;;
PARVUS MUS DORADZTWO SP. Z O.O.;SKLEP WIELOBRANØOWY ANGEL;GDA—SK;UL. åWIBNIE—SKA;35B;HANDEL;;
FIRMA HANDLOWA ANNA SZ£APKA;SKLEP MONOPOLOWY;GDA—SK;UL. CHMIELNA;71;HANDEL;4;
"SKLEP SPOØYWCZO-WARZYWNY ""STOKROTKA"" BEATA BIELEWSKA";SKLEP SPOè.-WARZYWNY STOKROTKA;GDA—SK;UL. STEFANII SEMPO£OWSKIEJ;8;HANDEL;;
GDA—SKDIS SP. Z O.O.;HIPERMARKET E.LECLERC;GDA—SK;UL. OBRO—C”W WYBRZEØA;1;HANDEL;;
SKLEP OG”LNOSPOØYWCZY S.C. ELØBIETA KRAUSE,  MACIEJ  KRAUSE;SKLEP SPOØYWCZY;GDA—SK;UL. WODNIKA;2;HANDEL;;
DELIKATESY MINI S.C. IWONA NOWAKOWSKA I PIOTR BEKISZ;DELIKATESY MINI;GDA—SK;UL. PIOTRKOWSKA;9;HANDEL;G;
"""IW-AN"" S.C. IWONA ZUBRZYCKA , ANDRZEJ ZUBRZYCKI";SKLEP MONOPOLOWY;GDA—SK;UL. ODRZA—SKA;34;HANDEL;;
"PROFISNET KRZYSZTOF RYPI—SKI, PRZEDSI BIORSTWO ""ANIA"" MA£GORZATA RYPI—SKA";SKLEP SPOØYWCZY;GDA—SK;UL. ALEJA JANA PAW£A II;23;HANDEL;;
"PROFISNET KRZYSZTOF RYPI—SKI, PRZEDSI BIORSTWO ""ANIA"" MA£GORZATA RYPI—SKA";SKLEP OG”LNO SPOØYWCZY;GDA—SK;UL. SZYPR”W;1;HANDEL;;
"S£AWOMIR WIåNIAK ""ASTRA""";SKLEP SPOØYWCZY;GDA—SK;UL. PIOTRA NORBLINA;23;HANDEL;;
HANDEL ARTI 34 SP”£KA JAWNA S£AWOMIR KISIEL ARTUR RZEPPA;"SKLEP OG”LNOSPOØYWCZY ""ARTI""34""";GDA—SK;UL. MACIERZY SZKOLNEJ W GDA—SKU;2;HANDEL;;
AP-POL SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"DELIKATESY ""FART""";GDA—SK;UL. KARTUSKA;73A;HANDEL;;
ANIGER SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"SKLEP SPOØYWCZY ""INTERMARCHE""";GDA—SK;UL. ALEJA GRUNWALDZKA;615;HANDEL;;
KAMA S.C. ADRIAN KUBAN, DOROTA KUBAN;SKLEP SPOØYWCZY;GDA—SK;UL. KONRADA GUDERSKIEGO;1;HANDEL;9E;
"SKLEP SPOØYWCZO-MONOPOLOWY ""IRENA"" IRENA JAKUBIAK";SKLEP SPOØ-MONOPOLOWY IRENA;GDA—SK;UL. SOPOCKA;3;HANDEL;;
"P.H.U. ""MARIANNA"" MARIANNA BRZOSKOWSKA";SKLEP ØABKA;GDA—SK;UL. STEFANA DRZEWIECKIEGO;9;HANDEL;-;
BP SERVICE KAROL ROPEL;SKLEP SPOØYWCZY NA STACJ PALIW BP SERVICE;GDA—SK;UL. ALEJA GRUNWALDZKA;276;HANDEL;;
F.H.U. ASTOR JACEK SZYMANOWSKI;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. ALEJA JANA PAW£A II;4;HANDEL;MP- 4;
BOMIG JERZY GRZYBOWSKI;"SKLEP SPOØYWCZO-MONOPOLOWY ""BOMIG MARKET""";GDA—SK;UL. åWI TOKRZYSKA;58;HANDEL;;
PHU LAK ALEKSANDRA LUBOWICKA;SKLEP ØABKA;GDA—SK;UL. PARTYZANT”W;14;HANDEL;101 (B.0.1;
BUBI MATEUSZ REYMAN;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. CZERWONY DW”R;27;HANDEL;;
"FIRMA HANDLOWA ""LUCIOLA"" LUDWIK LISIECKI";SKLEP SPOØYWCZY;GDA—SK;UL. RYBAKI G”RNE;4;HANDEL;;
"FIRMA HANDLOWA  DELIKAT  S.C. AGNIESZKA ØAKIEWICZ, ALICJA KOBIERSKA""";SKLEP OG”LNOSPOØYWCZY DELIKAT;GDA—SK;UL. KARTUSKA;37;HANDEL;;
"HANNA SOCHAN - TADEUSZ SOCHAN, HANNA SOCHAN ""LOBO"" S.C.";SKLEP SPOØYWCZY;GDA—SK;UL. BITWY OLIWSKIEJ;34;HANDEL;36;
ØABTRONIC KATARZYNA TRUDNOS;SKLEP SPOØYWCZY ØABKA;GDA—SK;UL. KARTUSKA;345B;HANDEL;U1;
W£ASNA DZIA£ALNOå∆ GOSPODARCZA MARCIN ALEKSANDROWICZ;SKLEP SPOØYWCZY ØABKA;GDA—SK;UL. TYSI•CLECIA;24;HANDEL;6;
DOMINIKA LAMPART;SKLEP SPOØYWCZY ØABKA;GDA—SK;UL. IGNACEGO KRASICKIEGO;9E;HANDEL;2;
CARREFOUR POLSKA SP. Z O.O.;SUPERMARKET CARREFOUR EXPRESS;GDA—SK;UL. ROGALI—SKA;1;HANDEL;;
CARREFOUR POLSKA SP. Z O.O.;HIPERMARKET CARREFOUR;GDA—SK;UL. PRZYWIDZKA;6;HANDEL;;
CARREFOUR POLSKA SP. Z O.O.;SUPERMARKET CARREFOUR PLP 753;GDA—SK;UL. CYGA—SKA G”RA;3F;HANDEL;;
CARREFOUR POLSKA SP. Z O.O.;HIEPERMARKET CARREFOUR;GDA—SK;UL. SCHUBERTA;102;HANDEL;A;
CARREFOUR POLSKA SP. Z O.O.;SUPERMARKET CARREFOUR;GDA—SK;UL. KO£OBRZESKA;54;HANDEL;;
CARREFOUR POLSKA SP. Z O.O.;"HIPERMARKET ""CARREFOUR""";GDA—SK;UL. ALEJA GRUNWALDZKA;141;HANDEL;;
H 500SP. Z O.O. G 570 SP. K-A;SUPERMARKET POLOMARKET;GDA—SK;UL. JUNONY;98;HANDEL;;
"""NATKA"" NATALIA GA£•ZKA";SKLEP SIECI ØABKA;GDA—SK;UL. OBRO—C”W WYBRZEØA;10B;HANDEL;;
ELØBIETA GIERSZEWSKA;SKLEP SIECI ØABKA;GDA—SK;UL. NIEBOROWSKA;10;HANDEL;;
P.H.U. MARTA KORNATOWSKA;SKLEP SIECI ØABKA;GDA—SK;UL. ALEJA GRUNWALDZKA;74;HANDEL;;
FHU JAROS£AW JAKUBIEC;SKLEP SIECI ØABKA;GDA—SK;UL. POT GOWSKA;12;HANDEL;49;
F.H.U KRYSTIAN RAKOCZY;SKLEP SIECI ØABKA;GDA—SK;UL. WARNE—SKA;2;HANDEL;;
F.H.U KRYSTIAN RAKOCZY;SKLEP SPOØYWCZY ØABKA;GDA—SK;UL. KLONOWA;4B;HANDEL;4C;
S”WKA WERONIKA PUCHACZ;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. ALEJA JANA PAW£A II;6A;HANDEL;1;
FIRMA HANDLOWA ALINA GANZKE;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. WOJSKIEGO;5;HANDEL;;
JS JUSTYNA SUROWIEC;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. PODWALE STAROMIEJSKIE;96;HANDEL;97;
"P.H.U. ""BARTKA"" BART£OMIEJ LASEK";"SKLEP SIECI ""ØABKA""";GDA—SK;UL. KARTUSKA;195;HANDEL;4;
HWM MICHA£ POPOWICZ;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. JELITKOWSKI DW”R;2;HANDEL;1;
FIRMA HANDLOWO-US£UGOWA LUKAS £UKASZ MA£KOWSKI;SKLEP MONOPOLOWY;GDA—SK;UL. TADEUSZA KOåCIUSZKI;11;HANDEL;;
JAKUB JASI—SKI;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. PLATYNOWA;2;HANDEL;10;
RAJMUND RUTECKI;SKLEP;GDA—SK;UL. JANA Z KOLNA;7;HANDEL;;
"""£YK"" SP. Z O.O.";SKLEP MONOPOLOWY;GDA—SK;UL. BITWY OLIWSKIEJ;20A;HANDEL;;
SKLEP SPOØYWCZY JAROS£AW DMOCHOWSKI;SKLEP SPOØYWCZY;GDA—SK;UL. ZWI•ZKOWA;8;HANDEL;;
BP EUROPA SE ODDZIA£ W POLSCE;SKLEP;;;;HANDEL;;UL.WITOSA R”G UL.MILSKIEGO
BP EUROPA SE ODDZIA£ W POLSCE;SKLEP;GDA—SK;UL. FRANCISZKA RAKOCZEGO;15;HANDEL;;
